symbol,date,quarter,positive_score,negative_score,neutral_score,polarity,sentiment_confidence,optimism_ratio,caution_ratio,transcript_length,word_complexity,price_volatility,prev_quarter_movement,label
PSX,2021-08-03,2021-Q2,0.0921,0.0291,0.8787,0.063,0.8496,0.7321,0.2679,4565,5.7982,0.3722,8.8221,0
IQV,2020-04-28,2020-Q1,0.0544,0.042,0.9037,0.0124,0.8617,0.4667,0.5333,3389,6.1638,0.7954,,1
HBAN,2022-07-21,2022-Q2,0.093,0.0288,0.8781,0.0642,0.8493,0.8889,0.1111,4072,6.0061,0.323,0.37,1
ORCL,2021-12-09,2022-Q2,0.05,0.0324,0.9176,0.0176,0.8852,0.7619,0.2381,3421,5.6787,0.1684,-3.6686,1
GOOGL,2021-07-27,2021-Q2,0.0857,0.0266,0.8878,0.0591,0.8612,0.925,0.075,3939,6.1711,0.1793,1.8862,1
AES,2021-11-04,2021-Q3,0.113,0.0195,0.8675,0.0934,0.848,0.907,0.093,3031,6.1577,0.2153,3.27,0
IBM,2020-07-20,2020-Q2,0.0826,0.0532,0.8642,0.0294,0.811,0.7692,0.2308,5082,6.1444,0.2564,,1
AMZN,2020-07-30,2020-Q2,0.1018,0.0234,0.8749,0.0784,0.8515,0.8857,0.1143,2887,5.7811,0.4753,,1
KR,2021-12-02,2021-Q3,0.0768,0.0234,0.8998,0.0534,0.8764,0.7838,0.2162,4115,6.0819,0.3371,-10.6328,1
CBRE,2021-04-29,2021-Q1,0.1175,0.0552,0.8272,0.0623,0.772,0.7547,0.2453,3165,6.2689,0.2512,0.691,1
MRK,2021-07-29,2021-Q2,0.1228,0.0191,0.8581,0.1038,0.839,0.9189,0.0811,4617,6.5289,0.1077,-1.9863,0
TTWO,2022-11-07,2023-Q2,0.0868,0.027,0.8861,0.0598,0.8591,0.898,0.102,4851,6.1255,0.3281,-3.1614,0
HPE,2021-03-02,2021-Q1,0.1386,0.0227,0.8388,0.1159,0.8161,0.9394,0.0606,3571,6.4595,0.3646,,1
STZ,2023-01-05,2023-Q3,0.1331,0.0271,0.8398,0.1059,0.8127,0.8061,0.1939,5662,6.2494,0.2012,-5.5987,0
GE,2021-04-27,2021-Q1,0.1289,0.0327,0.8383,0.0962,0.8056,0.8235,0.1765,4401,6.1136,0.2304,-2.82,0
DG,2021-08-26,2021-Q2,0.1279,0.0234,0.8487,0.1045,0.8253,0.8143,0.1857,4243,6.0066,0.1317,2.1658,0
UDR,2021-07-29,2021-Q2,0.0778,0.0346,0.8877,0.0432,0.8531,0.8594,0.1406,6182,5.8656,0.1517,-1.4741,1
AMD,2022-05-03,2022-Q1,0.1487,0.0225,0.8288,0.1262,0.8063,0.9385,0.0615,4365,6.0009,0.544,8.1838,1
NWL,2021-04-30,2021-Q1,0.1231,0.0238,0.8531,0.0994,0.8293,0.9286,0.0714,4383,6.0805,0.1578,9.7731,1
ELV,2022-07-20,2022-Q2,0.0871,0.0198,0.8931,0.0673,0.8733,0.9057,0.0943,4881,6.243,0.3218,-1.19,0
BR,2020-10-30,2021-Q1,0.1072,0.0262,0.8665,0.081,0.8403,0.7647,0.2353,3985,6.0966,0.2088,1.67,1
C,2021-07-14,2021-Q2,0.1361,0.0636,0.8004,0.0725,0.7368,0.803,0.197,4189,6.0566,0.2905,-3.9895,0
FTNT,2021-07-29,2021-Q2,0.0701,0.0225,0.9073,0.0476,0.8848,0.8205,0.1795,4063,6.0943,0.2139,1.4125,1
QCOM,2020-11-04,2020-Q4,0.0857,0.032,0.8823,0.0537,0.8503,0.8537,0.1463,3373,6.2238,0.3237,,1
